object_id,public_caption,img_title,original_image_url,caption,is_oasc,gcs_url,object_number,is_highlight,is_public_domain,department,object_name,obj_title,culture,period,dynasty,reign,portfolio,artist_role,artist_prefix,artist_display_name,artist_display_bio,artist_suffix,artist_alpha_sort,artist_nationality,artist_begin_date,artist_end_date,object_date,object_begin_date,object_end_date,medium,dimensions,credit_line,geography_type,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rights_and_reproduction,link_resource,metadata_date,repository
51514, ,,http://images.metmuseum.org/CRDImages/as/original/DP216149.jpg,exterior protective wrapper,TRUE,gs://gcs-public-data--met/51514/1.jpg,13.220.125,FALSE,TRUE,Asian Art,Panels mounted as a handscroll,,China,Ming (1368â€“1644) or Qing (1644â€“1911) dynasty,,,,Artist|Artist,Spurious signature of,Unidentified Artist|Wang Zhenpeng,"Chinese, active ca. 1275â€“1330",,Unidentified Artist|WANG ZHENPENG,Chinese,1265,1340,,1600,1913,Ten panels mounted as a handscroll; ink and color on silk,"Image (each panel, approx.): 13 3/8 Ã— 16 1/4 in. (34 Ã— 41.3 cm)","John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/51514,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
227596,,,http://images.metmuseum.org/CRDImages/es/original/SC58171.jpg,,TRUE,gs://gcs-public-data--met/227596/0.jpg,52.185.1,FALSE,TRUE,European Sculpture and Decorative Arts,Panel,Panel,French,,,,,,,,,,,,,,ca. 1880,1875,1885,"Satin, ""flock""",L. 60 x W. 29 3/4 inches (loom width) 152.4 x 75.6 cm,"Rogers Fund, 1952",,,,,,,,,,,,Textiles-Painted,,http://www.metmuseum.org/art/collection/search/227596,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
37994,,,http://images.metmuseum.org/CRDImages/as/original/DP153165.jpg,,TRUE,gs://gcs-public-data--met/37994/0.jpg,18.85.3,FALSE,TRUE,Asian Art,Folio,,"India (Kangra, Himachal Pradesh)",,,,,Artist|Artist,Attributed to,Ranjha|First generation after Manaku and Nainsukh,,,Ranjha|First generation after Manaku and Nainsukh,,,,ca. 1800â€“10,1790,1820,Ink and opaque watercolor on paper,Page: 11 1/2 x 15 9/16 in. (29.2 x 39.5 cm) Image: 8 3/4 x 13 1/8 in. (22.2 x 33.3 cm),"Rogers Fund, 1918",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/37994,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
50826,,,http://images.metmuseum.org/CRDImages/as/original/DP211861.jpg,,TRUE,gs://gcs-public-data--met/50826/0.jpg,14.76.61.73,FALSE,TRUE,Asian Art,Album leaf,çŒ«ã«èœ˜è››å›³|Cat Watching a Spider,Japan,Meiji period (1868â€“1912),,,,Artist,,ÅŒide TÅkÅ,"Japanese, 1841â€“1905",,ÅŒide TÅkÅ,Japanese,1841,1905,ca. 1888â€“92,1888,1892,Album leaf; ink and color on silk,14 3/4 x 11 in. (37.5 x 27.9 cm),"Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith, 1914",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/50826,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
57319,,,http://images.metmuseum.org/CRDImages/as/original/51_137_4_O1.jpg,,TRUE,gs://gcs-public-data--met/57319/1.jpg,51.137.4,FALSE,TRUE,Asian Art,Hanging scroll,,Japan,Edo period (1615â€“1868),,,,Artist,,Shibata Zeshin,"Japanese, 1807â€“1891",,Shibata Zeshin,Japanese,1807,1891,19th century,1807,1891,Hanging scroll; ink on paper,Image: 13 5/8 x 21 3/8 in. (34.6 x 54.3 cm) Overall with knobs: 50 1/4 x 25 in. (127.6 x 63.5 cm),"Purchase, Gifts, Bequests, and Funds from various donors, by exchange, 1951",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/57319,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
187228,,,http://images.metmuseum.org/CRDImages/es/original/SF90_14_7_img1.jpg,,TRUE,gs://gcs-public-data--met/187228/0.jpg,90.14.7aâ€“h,FALSE,TRUE,European Sculpture and Decorative Arts,Writing case,Writing case,"British, Staffordshire",,,,,,,,,,,,,,ca. 1760â€“1800,1755,1805,"Copper, enamel",1 7/8 x 2 5/8 x 1 3/4 in.  (4.8 x 6.7 x 4.4 cm),"Gift of Henry G. Marquand, 1890",,,,,,,,,,,,Enamels-Painted,,http://www.metmuseum.org/art/collection/search/187228,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
438951,,,http://images.metmuseum.org/CRDImages/ep/original/DP169473.jpg,Overall,TRUE,gs://gcs-public-data--met/438951/0.jpg,2007.164.6,FALSE,TRUE,European Paintings,Painting,An Evening beside Lake ArresÃ¸,,,,,,Artist,,Johan Thomas Lundbye,"Danish, Kalundborg 1818â€“1848 Bedsted",,"Lundbye, Johan Thomas",Danish,1818,1848,ca. 1837,1832,1842,Oil on canvas,9 x 11 3/4 in. (22.9 x 29.8 cm),"Gift of Eugene V. Thaw, 2007",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/438951,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
438510,,,http://images.metmuseum.org/CRDImages/ep/original/ep2002.151.jpg,Overall,TRUE,gs://gcs-public-data--met/438510/0.jpg,2002.151,FALSE,TRUE,European Paintings,Painting,The Outskirts of a Village,,,,,,Artist,,Edmond-FranÃ§ois Aman-Jean,"French, Chevry-Cossigny 1858â€“1936 Paris",,"Aman-Jean, Edmond-FranÃ§ois",French,1858,1936,ca. 1880,1875,1885,Oil on panel,4 7/8 x 8 9/16 in. (12.4 x 21.7 cm),"Catharine Lorillard Wolfe Collection, Wolfe Fund, 2002",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/438510,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
436093,,,http://images.metmuseum.org/CRDImages/ep/original/ep54.143.1.R.jpg,Overall,TRUE,gs://gcs-public-data--met/436093/0.jpg,54.143.1,FALSE,TRUE,European Paintings,Painting,The Drinkers,,,,,,Artist,,HonorÃ© Daumier,"French, Marseilles 1808â€“1879 Valmondois",,"Daumier, HonorÃ©",French,1808,1879,by 1861,1841,1861,Oil on wood,14 3/8 x 11 in. (36.5 x 27.9 cm),"Bequest of Margaret Seligman Lewisohn, in memory of her husband, Sam A. Lewisohn, 1954",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/436093,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
471,,,http://images.metmuseum.org/CRDImages/ad/original/25592.jpg,obverse,TRUE,gs://gcs-public-data--met/471/0.jpg,83.2.232,FALSE,TRUE,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,,,,,,Maker,After,Jean-Baptiste Nini,"Italian, Urbino 1717â€“1786 Chaumont-sur-Loire",,"Nini, Jean-Baptiste",Italian,1717,1786,1776â€“1883,1776,1883,Ivory,2 5/8 x 2 in. (6.7 x 5.1 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/471,2017-02-06 08:00:16 UTC,"Metropolitan Museum of Art, New York, NY"
